,Title,Release,Certificate,Runtime,IMDB Rating,Votes,Box Office Earnings,Director,Actors
12,The Godfather,(1972),R,175 min,9.2,1618737,"134,966,411",Francis Ford Coppola,"['Marlon Brando', 'Al Pacino', 'James Caan', 'Diane Keaton']"
13,The Lord of the Rings: The Fellowship of the Ring,(2001),PG-13,178 min,8.8,1660009,"315,544,750",Peter Jackson,"['Elijah Wood', 'Ian McKellen', 'Orlando Bloom', 'Sean Bean']"
14,1917,(2019),R,119 min,8.3,423890,"159,227,644",Sam Mendes,"['Dean-Charles Chapman', 'George MacKay', 'Daniel Mays', 'Colin Firth']"
15,The Dark Knight,(2008),PG-13,152 min,9,2301190,"534,858,444",Christopher Nolan,"['Christian Bale', 'Heath Ledger', 'Aaron Eckhart', 'Michael Caine']"
16,Interstellar,(2014),PG-13,169 min,8.6,1510386,"188,020,017",Christopher Nolan,"['Matthew McConaughey', 'Anne Hathaway', 'Jessica Chastain', 'Mackenzie Foy']"
17,Joker,(2019),R,122 min,8.5,936737,"335,451,311",Todd Phillips,"['Joaquin Phoenix', 'Robert De Niro', 'Zazie Beetz', 'Frances Conroy']"
18,Goodfellas,(1990),R,146 min,8.7,1019612,"46,836,394",Martin Scorsese,"['Robert De Niro', 'Ray Liotta', 'Joe Pesci', 'Lorraine Bracco']"
19,Inglourious Basterds,(2009),R,153 min,8.3,1266424,"120,540,719",Quentin Tarantino,"['Brad Pitt', 'Diane Kruger', 'Eli Roth', 'Mélanie Laurent']"
20,Pulp Fiction,(1994),R,154 min,8.9,1824549,"107,928,762",Quentin Tarantino,"['John Travolta', 'Uma Thurman', 'Samuel L. Jackson', 'Bruce Willis']"
21,Avengers: Infinity War,(2018),PG-13,149 min,8.4,832898,"678,815,482",Anthony Russo,"['Joe Russo', 'Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans']"
22,Forrest Gump,(1994),PG-13,142 min,8.8,1807281,"330,252,182",Robert Zemeckis,"['Tom Hanks', 'Robin Wright', 'Gary Sinise', 'Sally Field']"
23,The Intouchables,(2011),R,112 min,8.5,759225,"13,182,281",Olivier Nakache,"['Éric Toledano', 'François Cluzet', 'Omar Sy', 'Anne Le Ny', 'Audrey Fleurot']"
24,Ferris Bueller's Day Off,(1986),PG-13,103 min,7.8,321014,"70,136,369",John Hughes,"['Matthew Broderick', 'Alan Ruck', 'Mia Sara', 'Jeffrey Jones']"
25,The Departed,(2006),R,151 min,8.5,1188550,"132,384,315",Martin Scorsese,"['Leonardo DiCaprio', 'Matt Damon', 'Jack Nicholson', 'Mark Wahlberg']"
